		Structural Health Monitor
	 TIMESTAMP 	 ACCx 	ACCy 	ACCz 	  BAT 	 HUM 	 TEMP 	 MAS 	 RLE 
200/1/6 17:22:47	-4.35	-4.47	2.47	219.00	81.00	30.00	5272	5344
200/1/6 17:22:52	-4.39	-4.51	2.59	220.00	81.00	30.00	5288	5336
200/1/6 17:22:56	-4.39	-4.47	2.47	220.00	81.00	30.00	5284	5340
200/1/6 17:23:1		-4.35	-4.43	2.47	220.00	81.00	30.00	5280	5332
200/1/6 17:23:5		-4.39	-4.55	2.55	220.00	81.00	30.00	5268	5348
200/1/6 17:23:10	-4.35	-4.51	2.47	219.00	81.00	30.00	5264	5352
200/1/6 17:23:15	-4.35	-4.51	2.47	219.00	81.00	30.00	5276	5348
200/1/6 17:23:19	-4.31	-4.43	2.51	221.00	81.00	30.00	5264	5348
200/1/6 17:23:24	-4.39	-4.55	2.55	221.00	81.00	30.00	5292	5344
200/1/6 17:23:28	-4.35	-4.55	2.55	220.00	81.00	30.00	7236	5344
200/1/6 17:23:33	-4.43	-4.55	2.51	221.00	80.00	30.00	5268	11180
200/1/6 17:23:37	-4.35	-4.51	2.51	221.00	81.00	30.00	5288	5348
200/1/6 17:23:42	-4.39	-4.51	2.47	220.00	81.00	30.00	5260	5348
200/1/6 17:23:46	-4.39	-4.47	2.59	220.00	81.00	30.00	5288	5340
200/1/6 17:23:51	-4.35	-4.43	2.51	221.00	81.00	30.00	7208	5344
200/1/6 17:23:56	-4.39	-4.43	2.55	221.00	81.00	29.00	5264	9224
200/1/6 17:24:0		-4.39	-4.47	2.55	221.00	80.00	30.00	5280	5336
200/1/6 17:24:5		-4.43	-4.55	2.55	221.00	81.00	30.00	5292	7276
200/1/6 17:24:9		-4.35	-4.51	2.55	220.00	81.00	30.00	5276	5344
200/1/6 17:24:14	-4.39	-4.51	2.51	221.00	81.00	30.00	5280	5352
200/1/6 17:24:18	-4.39	-4.47	2.59	220.00	81.00	30.00	5276	7288
200/1/6 17:24:23	-4.31	-4.43	2.43	220.00	81.00	30.00	5260	5344
200/1/6 17:24:28	-4.35	-4.47	2.47	219.00	81.00	30.00	5284	5352
200/1/6 17:24:32	-4.43	-4.55	2.59	219.00	81.00	30.00	5288	5336
200/1/6 17:24:37	-4.35	-4.47	2.51	219.00	81.00	30.00	5272	5336
200/1/6 17:24:41	-4.35	-4.43	2.55	218.00	81.00	30.00	7228	5332
200/1/6 17:24:46	-4.35	-4.55	2.63	219.00	80.00	30.00	5264	5348
200/1/6 17:24:50	-4.28	-4.47	2.47	219.00	81.00	30.00	5284	5344
200/1/6 17:24:55	-4.39	-4.51	2.51	219.00	81.00	30.00	5264	5340
200/1/6 17:25:0		-4.43	-4.51	2.55	218.00	81.00	30.00	5292	5340
200/1/6 17:25:4		-4.39	-4.55	2.51	218.00	81.00	30.00	5288	5332
200/1/6 17:25:9		-4.31	-4.43	2.47	218.00	81.00	30.00	5264	5352
200/1/6 17:25:13	-4.35	-4.55	2.51	218.00	81.00	30.00	5280	5332
200/1/6 17:25:18	-4.39	-4.51	2.63	218.00	81.00	30.00	5280	5344
200/1/6 17:25:22	-4.31	-4.51	2.51	218.00	81.00	30.00	5280	5336
200/1/6 17:25:27	-4.31	-4.43	2.47	218.00	81.00	30.00	5272	5340
200/1/6 17:25:32	-4.39	-4.47	2.51	218.00	81.00	30.00	5280	5348
200/1/6 17:25:36	-4.39	-4.55	2.55	218.00	81.00	30.00	5284	5328
200/1/6 17:25:41	-4.39	-4.55	2.63	218.00	81.00	30.00	5272	5352
200/1/6 17:25:45	-4.39	-4.51	2.63	218.00	81.00	30.00	5268	5336
200/1/6 17:25:50	-4.39	-4.55	2.51	218.00	81.00	30.00	5288	5336
200/1/6 17:25:54	-4.31	-4.47	2.47	218.00	81.00	30.00	7224	5332
200/1/6 17:25:59	-4.39	-4.51	2.55	220.00	81.00	30.00	5276	5340
200/1/6 17:26:3		-4.31	-4.47	2.55	219.00	81.00	30.00	5280	5332
200/1/6 17:26:8		-4.31	-4.51	2.51	218.00	81.00	30.00	5296	5336
200/1/6 17:26:13	-4.35	-4.55	2.51	218.00	81.00	30.00	5276	5344
200/1/6 17:26:17	-4.39	-4.59	2.59	218.00	81.00	30.00	5288	5344
200/1/6 17:26:22	-4.43	-4.55	2.59	218.00	81.00	30.00	7236	5324
200/1/6 17:26:26	-4.28	-4.51	2.47	216.00	81.00	30.00	5288	5344
200/1/6 17:26:31	-4.43	-4.51	2.63	217.00	81.00	30.00	5288	5332
200/1/6 17:26:35	-4.35	-4.51	2.47	217.00	81.00	30.00	5264	5340
200/1/6 17:26:40	-4.31	-4.51	2.51	217.00	81.00	30.00	5268	5340
200/1/6 17:26:45	-4.39	-4.55	2.55	217.00	81.00	30.00	5276	5344
200/1/6 17:26:49	-4.35	-4.51	2.55	216.00	81.00	30.00	5268	5348
200/1/6 17:26:54	-4.39	-4.47	2.55	216.00	81.00	30.00	5284	5356
200/1/6 17:26:58	-4.31	-4.51	2.51	216.00	81.00	30.00	5288	5336
200/1/6 17:27:3		-4.39	-4.47	2.63	216.00	81.00	30.00	5284	5340
200/1/6 17:27:7		-4.39	-4.51	2.51	216.00	81.00	30.00	5264	5344
200/1/6 17:27:12	-4.35	-4.43	2.47	216.00	80.00	31.00	5292	9252
200/1/6 17:27:17	-4.28	-4.47	2.51	216.00	81.00	30.00	5280	5320
200/1/6 17:27:21	-4.35	-4.47	2.47	216.00	81.00	30.00	5264	5352
200/1/6 17:27:26	-4.39	-4.51	2.55	217.00	81.00	30.00	5276	5348
200/1/6 17:27:30	-4.35	-4.43	2.51	216.00	81.00	30.00	5264	5340
200/1/6 17:27:35	-4.39	-4.47	2.63	216.00	81.00	30.00	9208	5336
200/1/6 17:27:39	-4.43	-4.55	2.59	216.00	81.00	30.00	5288	5328
200/1/6 17:27:44	-4.31	-4.51	2.51	216.00	81.00	30.00	5280	5344
200/1/6 17:27:48	-4.39	-4.47	2.47	215.00	81.00	30.00	5284	5336
200/1/6 17:27:53	-4.35	-4.55	2.51	215.00	81.00	30.00	5292	5332
200/1/6 17:27:58	-4.31	-4.55	2.59	215.00	81.00	30.00	9208	5328
200/1/6 17:28:2		-4.31	-4.47	2.43	215.00	81.00	30.00	5280	5348
200/1/6 17:28:7		-4.31	-4.39	2.47	216.00	81.00	30.00	5284	5340
